Number,Steps
1000,5 steps
1001,4 steps
1002,3 steps
1003,3 steps
1004,7 steps
1005,7 steps
1006,7 steps
1007,3 steps
1008,3 steps
1009,4 steps
1010,4 steps
1011,5 steps
1012,4 steps
1013,6 steps
1014,4 steps
1015,6 steps
1016,6 steps
1017,4 steps
1018,6 steps
1019,4 steps
1020,3 steps
1021,4 steps
1022,3 steps
1023,3 steps
1024,7 steps
1025,7 steps
1026,7 steps
1027,3 steps
1028,3 steps
1029,4 steps
1030,3 steps
1031,6 steps
1032,3 steps
1033,5 steps
1034,2 steps
1035,7 steps
1036,1 step
1037,5 steps
1038,6 steps
1039,3 steps
1040,7 steps
1041,4 steps
1042,7 steps
1043,2 steps
1044,3 steps
1045,5 steps
1046,3 steps
1047,6 steps
1048,5 steps
1049,3 steps
1050,7 steps
1051,6 steps
1052,7 steps
1053,7 steps
1054,5 steps
1055,5 steps
1056,4 steps
1057,3 steps
1058,2 steps
1059,7 steps
1060,7 steps
1061,6 steps
1062,7 steps
1063,1 step
1064,3 steps
1065,4 steps
1066,5 steps
1067,5 steps
1068,7 steps
1069,7 steps
1070,3 steps
1071,4 steps
1072,3 steps
1073,5 steps
1074,6 steps
1075,3 steps
1076,5 steps
1077,3 steps
1078,2 steps
1079,7 steps
1080,3 steps
1081,6 steps
1082,3 steps
1083,6 steps
1084,5 steps
1085,2 steps
1086,7 steps
1087,2 steps
1088,5 steps
1089,3 steps
1090,4 steps
1091,4 steps
1092,4 steps
1093,3 steps
1094,3 steps
1095,7 steps
1096,7 steps
1097,7 steps
1098,3 steps
1099,3 steps
1100,4 steps
1101,5 steps
1102,4 steps
1103,6 steps
1104,4 steps
1105,6 steps
1106,6 steps
1107,4 steps
1108,6 steps
1109,4 steps
1110,5 steps
1111,invalid number
1112,5 steps
1113,4 steps
1114,6 steps
1115,4 steps
1116,6 steps
1117,6 steps
1118,4 steps
1119,6 steps
1120,4 steps
1121,5 steps
1122,4 steps
1123,3 steps
1124,3 steps
1125,7 steps
1126,7 steps
1127,7 steps
1128,3 steps
1129,3 steps
1130,6 steps
1131,4 steps
1132,3 steps
1133,6 steps
1134,5 steps
1135,2 steps
1136,7 steps
1137,1 step
1138,5 steps
1139,6 steps
1140,4 steps
1141,6 steps
1142,3 steps
1143,5 steps
1144,6 steps
1145,3 steps
1146,5 steps
1147,3 steps
1148,6 steps
1149,5 steps
1150,6 steps
1151,4 steps
1152,7 steps
1153,2 steps
1154,3 steps
1155,4 steps
1156,5 steps
1157,4 steps
1158,3 steps
1159,2 steps
1160,6 steps
1161,6 steps
1162,7 steps
1163,7 steps
1164,5 steps
1165,5 steps
1166,5 steps
1167,5 steps
1168,5 steps
1169,7 steps
1170,4 steps
1171,6 steps
1172,7 steps
1173,1 step
1174,3 steps
1175,4 steps
1176,5 steps
1177,4 steps
1178,3 steps
1179,2 steps
1180,6 steps
1181,4 steps
1182,3 steps
1183,5 steps
1184,6 steps
1185,3 steps
1186,5 steps
1187,3 steps
1188,6 steps
1189,5 steps
1190,4 steps
1191,6 steps
1192,3 steps
1193,6 steps
1194,5 steps
1195,2 steps
1196,7 steps
1197,2 steps
1198,5 steps
1199,6 steps
1200,3 steps
1201,4 steps
1202,3 steps
1203,3 steps
1204,7 steps
1205,7 steps
1206,7 steps
1207,3 steps
1208,3 steps
1209,4 steps
1210,4 steps
1211,5 steps
1212,4 steps
1213,3 steps
1214,3 steps
1215,7 steps
1216,7 steps
1217,7 steps
1218,3 steps
1219,3 steps
1220,3 steps
1221,4 steps
1222,5 steps
1223,4 steps
1224,6 steps
1225,4 steps
1226,6 steps
1227,6 steps
1228,4 steps
1229,6 steps
1230,3 steps
1231,3 steps
1232,4 steps
1233,3 steps
1234,3 steps
1235,7 steps
1236,7 steps
1237,7 steps
1238,3 steps
1239,3 steps
1240,7 steps
1241,3 steps
1242,6 steps
1243,3 steps
1244,5 steps
1245,2 steps
1246,7 steps
1247,1 step
1248,5 steps
1249,6 steps
1250,7 steps
1251,7 steps
1252,4 steps
1253,7 steps
1254,2 steps
1255,3 steps
1256,5 steps
1257,3 steps
1258,6 steps
1259,5 steps
1260,7 steps
1261,7 steps
1262,6 steps
1263,7 steps
1264,7 steps
1265,5 steps
1266,5 steps
1267,4 steps
1268,3 steps
1269,2 steps
1270,3 steps
1271,7 steps
1272,6 steps
1273,7 steps
1274,1 step
1275,3 steps
1276,4 steps
1277,5 steps
1278,5 steps
1279,7 steps
1280,3 steps
1281,3 steps
1282,4 steps
1283,3 steps
1284,5 steps
1285,6 steps
1286,3 steps
1287,5 steps
1288,3 steps
1289,2 steps
1290,4 steps
1291,3 steps
1292,6 steps
1293,3 steps
1294,6 steps
1295,5 steps
1296,2 steps
1297,7 steps
1298,2 steps
1299,5 steps
1300,3 steps
1301,6 steps
1302,3 steps
1303,5 steps
1304,2 steps
1305,7 steps
1306,1 step
1307,5 steps
1308,6 steps
1309,3 steps
1310,6 steps
1311,4 steps
1312,3 steps
1313,6 steps
1314,5 steps
1315,2 steps
1316,7 steps
1317,1 step
1318,5 steps
1319,6 steps
1320,3 steps
1321,3 steps
1322,4 steps
1323,3 steps
1324,3 steps
1325,7 steps
1326,7 steps
1327,7 steps
1328,3 steps
1329,3 steps
1330,5 steps
1331,6 steps
1332,3 steps
1333,4 steps
1334,6 steps
1335,4 steps
1336,6 steps
1337,6 steps
1338,4 steps
1339,6 steps
1340,2 steps
1341,5 steps
1342,3 steps
1343,6 steps
1344,3 steps
1345,7 steps
1346,7 steps
1347,7 steps
1348,3 steps
1349,3 steps
1350,7 steps
1351,2 steps
1352,7 steps
1353,4 steps
1354,7 steps
1355,2 steps
1356,7 steps
1357,1 step
1358,5 steps
1359,6 steps
1360,1 step
1361,7 steps
1362,7 steps
1363,6 steps
1364,7 steps
1365,7 steps
1366,5 steps
1367,3 steps
1368,6 steps
1369,5 steps
1370,5 steps
1371,1 step
1372,7 steps
1373,6 steps
1374,7 steps
1375,1 step
1376,3 steps
1377,4 steps
1378,3 steps
1379,2 steps
1380,6 steps
1381,5 steps
1382,3 steps
1383,4 steps
1384,3 steps
1385,5 steps
1386,6 steps
1387,3 steps
1388,5 steps
1389,7 steps
1390,3 steps
1391,6 steps
1392,3 steps
1393,6 steps
1394,3 steps
1395,6 steps
1396,5 steps
1397,2 steps
1398,7 steps
1399,2 steps
1400,7 steps
1401,4 steps
1402,7 steps
1403,2 steps
1404,3 steps
1405,5 steps
1406,3 steps
1407,6 steps
1408,5 steps
1409,3 steps
1410,4 steps
1411,6 steps
1412,3 steps
1413,5 steps
1414,6 steps
1415,3 steps
1416,5 steps
1417,3 steps
1418,6 steps
1419,5 steps
1420,7 steps
1421,3 steps
1422,6 steps
1423,3 steps
1424,5 steps
1425,2 steps
1426,7 steps
1427,1 step
1428,5 steps
1429,6 steps
1430,2 steps
1431,5 steps
1432,3 steps
1433,6 steps
1434,3 steps
1435,7 steps
1436,7 steps
1437,7 steps
1438,3 steps
1439,3 steps
1440,3 steps
1441,6 steps
1442,5 steps
1443,3 steps
1444,6 steps
1445,4 steps
1446,6 steps
1447,6 steps
1448,4 steps
1449,6 steps
1450,5 steps
1451,3 steps
1452,2 steps
1453,7 steps
1454,4 steps
1455,7 steps
1456,7 steps
1457,7 steps
1458,3 steps
1459,3 steps
1460,3 steps
1461,5 steps
1462,7 steps
1463,7 steps
1464,6 steps
1465,7 steps
1466,7 steps
1467,1 step
1468,5 steps
1469,6 steps
1470,6 steps
1471,3 steps
1472,1 step
1473,7 steps
1474,6 steps
1475,7 steps
1476,1 step
1477,3 steps
1478,6 steps
1479,5 steps
1480,5 steps
1481,6 steps
1482,5 steps
1483,3 steps
1484,4 steps
1485,3 steps
1486,5 steps
1487,6 steps
1488,3 steps
1489,2 steps
1490,3 steps
1491,5 steps
1492,6 steps
1493,3 steps
1494,6 steps
1495,3 steps
1496,6 steps
1497,5 steps
1498,2 steps
1499,7 steps
1500,7 steps
1501,6 steps
1502,7 steps
1503,7 steps
1504,5 steps
1505,5 steps
1506,4 steps
1507,3 steps
1508,2 steps
1509,7 steps
1510,6 steps
1511,4 steps
1512,7 steps
1513,2 steps
1514,3 steps
1515,4 steps
1516,5 steps
1517,4 steps
1518,3 steps
1519,2 steps
1520,7 steps
1521,7 steps
1522,4 steps
1523,7 steps
1524,2 steps
1525,3 steps
1526,5 steps
1527,3 steps
1528,6 steps
1529,5 steps
1530,7 steps
1531,2 steps
1532,7 steps
1533,4 steps
1534,7 steps
1535,2 steps
1536,7 steps
1537,1 step
1538,5 steps
1539,6 steps
1540,5 steps
1541,3 steps
1542,2 steps
1543,7 steps
1544,4 steps
1545,7 steps
1546,7 steps
1547,7 steps
1548,3 steps
1549,3 steps
1550,5 steps
1551,4 steps
1552,3 steps
1553,2 steps
1554,7 steps
1555,4 steps
1556,6 steps
1557,6 steps
1558,4 steps
1559,6 steps
1560,4 steps
1561,5 steps
1562,5 steps
1563,7 steps
1564,7 steps
1565,6 steps
1566,7 steps
1567,7 steps
1568,3 steps
1569,3 steps
1570,3 steps
1571,4 steps
1572,3 steps
1573,1 step
1574,7 steps
1575,6 steps
1576,7 steps
1577,1 step
1578,5 steps
1579,6 steps
1580,2 steps
1581,3 steps
1582,6 steps
1583,5 steps
1584,3 steps
1585,4 steps
1586,3 steps
1587,5 steps
1588,6 steps
1589,5 steps
1590,7 steps
1591,2 steps
1592,5 steps
1593,6 steps
1594,3 steps
1595,6 steps
1596,3 steps
1597,6 steps
1598,5 steps
1599,2 steps
1600,7 steps
1601,6 steps
1602,7 steps
1603,1 step
1604,3 steps
1605,4 steps
1606,5 steps
1607,5 steps
1608,7 steps
1609,7 steps
1610,6 steps
1611,6 steps
1612,7 steps
1613,7 steps
1614,5 steps
1615,5 steps
1616,5 steps
1617,5 steps
1618,5 steps
1619,7 steps
1620,7 steps
1621,7 steps
1622,6 steps
1623,7 steps
1624,7 steps
1625,5 steps
1626,5 steps
1627,4 steps
1628,3 steps
1629,2 steps
1630,1 step
1631,7 steps
1632,7 steps
1633,6 steps
1634,7 steps
1635,7 steps
1636,5 steps
1637,3 steps
1638,6 steps
1639,5 steps
1640,3 steps
1641,5 steps
1642,7 steps
1643,7 steps
1644,6 steps
1645,7 steps
1646,7 steps
1647,1 step
1648,5 steps
1649,6 steps
1650,4 steps
1651,5 steps
1652,5 steps
1653,7 steps
1654,7 steps
1655,6 steps
1656,7 steps
1657,7 steps
1658,3 steps
1659,3 steps
1660,5 steps
1661,5 steps
1662,5 steps
1663,5 steps
1664,7 steps
1665,7 steps
1666,6 steps
1667,6 steps
1668,4 steps
1669,6 steps
1670,5 steps
1671,5 steps
1672,4 steps
1673,3 steps
1674,1 step
1675,7 steps
1676,6 steps
1677,7 steps
1678,3 steps
1679,3 steps
1680,7 steps
1681,5 steps
1682,3 steps
1683,6 steps
1684,5 steps
1685,3 steps
1686,4 steps
1687,3 steps
1688,5 steps
1689,6 steps
1690,7 steps
1691,7 steps
1692,2 steps
1693,5 steps
1694,6 steps
1695,3 steps
1696,6 steps
1697,3 steps
1698,6 steps
1699,5 steps
1700,3 steps
1701,4 steps
1702,3 steps
1703,5 steps
1704,6 steps
1705,3 steps
1706,5 steps
1707,3 steps
1708,2 steps
1709,7 steps
1710,4 steps
1711,6 steps
1712,7 steps
1713,1 step
1714,3 steps
1715,4 steps
1716,5 steps
1717,4 steps
1718,3 steps
1719,2 steps
1720,3 steps
1721,7 steps
1722,6 steps
1723,7 steps
1724,1 step
1725,3 steps
1726,4 steps
1727,5 steps
1728,5 steps
1729,7 steps
1730,5 steps
1731,1 step
1732,7 steps
1733,6 steps
1734,7 steps
1735,1 step
1736,3 steps
1737,4 steps
1738,3 steps
1739,2 steps
1740,6 steps
1741,3 steps
1742,1 step
1743,7 steps
1744,6 steps
1745,7 steps
1746,1 step
1747,3 steps
1748,6 steps
1749,5 steps
1750,3 steps
1751,4 steps
1752,3 steps
1753,1 step
1754,7 steps
1755,6 steps
1756,7 steps
1757,1 step
1758,5 steps
1759,6 steps
1760,5 steps
1761,5 steps
1762,4 steps
1763,3 steps
1764,1 step
1765,7 steps
1766,6 steps
1767,7 steps
1768,3 steps
1769,3 steps
1770,3 steps
1771,4 steps
1772,5 steps
1773,4 steps
1774,3 steps
1775,1 step
1776,7 steps
1777,6 steps
1778,4 steps
1779,6 steps
1780,2 steps
1781,3 steps
1782,5 steps
1783,3 steps
1784,6 steps
1785,5 steps
1786,3 steps
1787,4 steps
1788,3 steps
1789,3 steps
1790,7 steps
1791,2 steps
1792,7 steps
1793,2 steps
1794,5 steps
1795,6 steps
1796,3 steps
1797,6 steps
1798,3 steps
1799,6 steps
1800,3 steps
1801,6 steps
1802,3 steps
1803,6 steps
1804,5 steps
1805,2 steps
1806,7 steps
1807,2 steps
1808,5 steps
1809,3 steps
1810,6 steps
1811,4 steps
1812,3 steps
1813,5 steps
1814,6 steps
1815,3 steps
1816,5 steps
1817,3 steps
1818,6 steps
1819,5 steps
1820,3 steps
1821,3 steps
1822,4 steps
1823,3 steps
1824,5 steps
1825,6 steps
1826,3 steps
1827,5 steps
1828,3 steps
1829,2 steps
1830,6 steps
1831,5 steps
1832,3 steps
1833,4 steps
1834,3 steps
1835,5 steps
1836,6 steps
1837,3 steps
1838,5 steps
1839,7 steps
1840,5 steps
1841,6 steps
1842,5 steps
1843,3 steps
1844,4 steps
1845,3 steps
1846,5 steps
1847,6 steps
1848,3 steps
1849,2 steps
1850,2 steps
1851,3 steps
1852,6 steps
1853,5 steps
1854,3 steps
1855,4 steps
1856,3 steps
1857,5 steps
1858,6 steps
1859,5 steps
1860,7 steps
1861,5 steps
1862,3 steps
1863,6 steps
1864,5 steps
1865,3 steps
1866,4 steps
1867,3 steps
1868,5 steps
1869,6 steps
1870,2 steps
1871,3 steps
1872,5 steps
1873,3 steps
1874,6 steps
1875,5 steps
1876,3 steps
1877,4 steps
1878,3 steps
1879,3 steps
1880,5 steps
1881,6 steps
1882,3 steps
1883,5 steps
1884,3 steps
1885,6 steps
1886,5 steps
1887,3 steps
1888,4 steps
1889,6 steps
1890,3 steps
1891,5 steps
1892,2 steps
1893,7 steps
1894,2 steps
1895,5 steps
1896,6 steps
1897,3 steps
1898,6 steps
1899,3 steps
1900,4 steps
1901,4 steps
1902,4 steps
1903,3 steps
1904,3 steps
1905,7 steps
1906,7 steps
1907,7 steps
1908,3 steps
1909,3 steps
1910,4 steps
1911,6 steps
1912,3 steps
1913,6 steps
1914,5 steps
1915,2 steps
1916,7 steps
1917,2 steps
1918,5 steps
1919,6 steps
1920,4 steps
1921,3 steps
1922,6 steps
1923,3 steps
1924,6 steps
1925,5 steps
1926,2 steps
1927,7 steps
1928,2 steps
1929,5 steps
1930,3 steps
1931,6 steps
1932,3 steps
1933,6 steps
1934,3 steps
1935,6 steps
1936,5 steps
1937,2 steps
1938,7 steps
1939,2 steps
1940,3 steps
1941,5 steps
1942,6 steps
1943,3 steps
1944,6 steps
1945,3 steps
1946,6 steps
1947,5 steps
1948,2 steps
1949,7 steps
1950,7 steps
1951,2 steps
1952,5 steps
1953,6 steps
1954,3 steps
1955,6 steps
1956,3 steps
1957,6 steps
1958,5 steps
1959,2 steps
1960,7 steps
1961,7 steps
1962,2 steps
1963,5 steps
1964,6 steps
1965,3 steps
1966,6 steps
1967,3 steps
1968,6 steps
1969,5 steps
1970,7 steps
1971,2 steps
1972,7 steps
1973,2 steps
1974,5 steps
1975,6 steps
1976,3 steps
1977,6 steps
1978,3 steps
1979,6 steps
1980,3 steps
1981,5 steps
1982,2 steps
1983,7 steps
1984,2 steps
1985,5 steps
1986,6 steps
1987,3 steps
1988,6 steps
1989,3 steps
1990,3 steps
1991,6 steps
1992,5 steps
1993,2 steps
1994,7 steps
1995,2 steps
1996,5 steps
1997,6 steps
1998,3 steps
1999,6 steps
2000,4 steps
2001,3 steps
2002,6 steps
2003,5 steps
2004,2 steps
2005,7 steps
2006,1 step
2007,5 steps
2008,6 steps
2009,3 steps
2010,3 steps
2011,4 steps
2012,3 steps
2013,3 steps
2014,7 steps
2015,7 steps
2016,7 steps
2017,3 steps
2018,3 steps
2019,4 steps
2020,6 steps
2021,3 steps
2022,4 steps
2023,6 steps
2024,4 steps
2025,6 steps
2026,6 steps
2027,4 steps
2028,6 steps
2029,4 steps
2030,5 steps
2031,3 steps
2032,6 steps
2033,3 steps
2034,7 steps
2035,7 steps
2036,7 steps
2037,3 steps
2038,3 steps
2039,4 steps
2040,2 steps
2041,7 steps
2042,4 steps
2043,7 steps
2044,2 steps
2045,7 steps
2046,1 step
2047,5 steps
2048,6 steps
2049,3 steps
2050,7 steps
2051,7 steps
2052,6 steps
2053,7 steps
2054,7 steps
2055,5 steps
2056,3 steps
2057,6 steps
2058,5 steps
2059,3 steps
2060,1 step
2061,7 steps
2062,6 steps
2063,7 steps
2064,1 step
2065,3 steps
2066,4 steps
2067,3 steps
2068,2 steps
2069,7 steps
2070,5 steps
2071,3 steps
2072,4 steps
2073,3 steps
2074,5 steps
2075,6 steps
2076,3 steps
2077,5 steps
2078,7 steps
2079,7 steps
2080,6 steps
2081,3 steps
2082,6 steps
2083,3 steps
2084,6 steps
2085,5 steps
2086,2 steps
2087,7 steps
2088,2 steps
2089,7 steps
2090,3 steps
2091,4 steps
2092,4 steps
2093,4 steps
2094,3 steps
2095,3 steps
2096,7 steps
2097,7 steps
2098,7 steps
2099,3 steps
2100,3 steps
2101,4 steps
2102,3 steps
2103,3 steps
2104,7 steps
2105,7 steps
2106,7 steps
2107,3 steps
2108,3 steps
2109,4 steps
2110,4 steps
2111,5 steps
2112,4 steps
2113,3 steps
2114,3 steps
2115,7 steps
2116,7 steps
2117,7 steps
2118,3 steps
2119,3 steps
2120,3 steps
2121,4 steps
2122,5 steps
2123,4 steps
2124,6 steps
2125,4 steps
2126,6 steps
2127,6 steps
2128,4 steps
2129,6 steps
2130,3 steps
2131,3 steps
2132,4 steps
2133,3 steps
2134,3 steps
2135,7 steps
2136,7 steps
2137,7 steps
2138,3 steps
2139,3 steps
2140,7 steps
2141,3 steps
2142,6 steps
2143,3 steps
2144,5 steps
2145,2 steps
2146,7 steps
2147,1 step
2148,5 steps
2149,6 steps
2150,7 steps
2151,7 steps
2152,4 steps
2153,7 steps
2154,2 steps
2155,3 steps
2156,5 steps
2157,3 steps
2158,6 steps
2159,5 steps
2160,7 steps
2161,7 steps
2162,6 steps
2163,7 steps
2164,7 steps
2165,5 steps
2166,5 steps
2167,4 steps
2168,3 steps
2169,2 steps
2170,3 steps
2171,7 steps
2172,6 steps
2173,7 steps
2174,1 step
2175,3 steps
2176,4 steps
2177,5 steps
2178,5 steps
2179,7 steps
2180,3 steps
2181,3 steps
2182,4 steps
2183,3 steps
2184,5 steps
2185,6 steps
2186,3 steps
2187,5 steps
2188,3 steps
2189,2 steps
2190,4 steps
2191,3 steps
2192,6 steps
2193,3 steps
2194,6 steps
2195,5 steps
2196,2 steps
2197,7 steps
2198,2 steps
2199,5 steps
2200,6 steps
2201,3 steps
2202,4 steps
2203,6 steps
2204,4 steps
2205,6 steps
2206,6 steps
2207,4 steps
2208,6 steps
2209,4 steps
2210,3 steps
2211,4 steps
2212,5 steps
2213,4 steps
2214,6 steps
2215,4 steps
2216,6 steps
2217,6 steps
2218,4 steps
2219,6 steps
2220,4 steps
2221,5 steps
2222,invalid number
2223,5 steps
2224,4 steps
2225,6 steps
2226,4 steps
2227,6 steps
2228,6 steps
2229,4 steps
2230,6 steps
2231,4 steps
2232,5 steps
2233,4 steps
2234,3 steps
2235,3 steps
2236,7 steps
2237,7 steps
2238,7 steps
2239,3 steps
2240,4 steps
2241,6 steps
2242,4 steps
2243,3 steps
2244,6 steps
2245,5 steps
2246,2 steps
2247,7 steps
2248,1 step
2249,5 steps
2250,6 steps
2251,4 steps
2252,6 steps
2253,3 steps
2254,5 steps
2255,6 steps
2256,3 steps
2257,5 steps
2258,3 steps
2259,6 steps
2260,6 steps
2261,6 steps
2262,4 steps
2263,7 steps
2264,2 steps
2265,3 steps
2266,4 steps
2267,5 steps
2268,4 steps
2269,3 steps
2270,4 steps
2271,6 steps
2272,6 steps
2273,7 steps
2274,7 steps
2275,5 steps
2276,5 steps
2277,5 steps
2278,5 steps
2279,5 steps
2280,6 steps
2281,4 steps
2282,6 steps
2283,7 steps
2284,1 step
2285,3 steps
2286,4 steps
2287,5 steps
2288,4 steps
2289,3 steps
2290,4 steps
2291,6 steps
2292,4 steps
2293,3 steps
2294,5 steps
2295,6 steps
2296,3 steps
2297,5 steps
2298,3 steps
2299,6 steps
2300,5 steps
2301,3 steps
2302,6 steps
2303,3 steps
2304,7 steps
2305,7 steps
2306,7 steps
2307,3 steps
2308,3 steps
2309,4 steps
2310,3 steps
2311,3 steps
2312,4 steps
2313,3 steps
2314,3 steps
2315,7 steps
2316,7 steps
2317,7 steps
2318,3 steps
2319,3 steps
2320,6 steps
2321,4 steps
2322,5 steps
2323,4 steps
2324,3 steps
2325,3 steps
2326,7 steps
2327,7 steps
2328,7 steps
2329,3 steps
2330,3 steps
2331,3 steps
2332,4 steps
2333,5 steps
2334,4 steps
2335,6 steps
2336,4 steps
2337,6 steps
2338,6 steps
2339,4 steps
2340,7 steps
2341,3 steps
2342,3 steps
2343,4 steps
